time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T011217	96.17	100	100	96.18	300	300
20140812T011239	96.17	100	100	96.18	100	100
20140812T011249	96.13	800	800	96.18	100	100
20140812T011259	96.13	800	800	96.17	500	500
20140812T011313	96.14	200	200	96.17	500	500
20140812T011326	96.14	200	200	96.18	200	200
20140812T011330	96.14	200	200	96.18	100	100
20140812T011334	96.14	200	200	96.17	500	500
20140812T011454	96.14	200	200	96.17	400	400
20140812T011531	96.16	200	200	96.17	400	400
20140812T011621	96.17	1100	1100	96.18	100	100
20140812T011936	96.13	800	800	96.18	100	100
20140812T011951	96.13	300	300	96.18	100	100
20140812T012035	96.14	5000	5000	96.18	100	100
20140812T012039	96.15	300	300	96.18	100	100
20140812T012044	96.16	2000	2000	96.18	100	100
20140812T012159	96.16	2000	2000	96.18	900	900
20140812T012242	96.16	2000	2000	96.2	1200	1200
20140812T012325	96.2	100	100	96.24	300	300
20140812T012351	96.15	300	300	96.24	300	300
20140812T012531	96.16	5000	5000	96.24	300	300
20140812T012649	96.12	5000	5000	96.24	300	300
20140812T012654	96.13	300	300	96.24	300	300
20140812T012734	96.15	700	700	96.24	300	300
20140812T012751	96.15	700	700	96.23	1300	1300
20140812T012931	96.15	700	700	96.23	500	500
20140812T012932	96.2	1300	1300	96.23	500	500
20140812T012952	96.23	700	700	96.24	300	300
20140812T012957	96.15	700	700	96.24	300	300
20140812T013000	96.16	100	100	96.24	300	300
20140812T013028	96.16	100	100	96.23	1300	1300
20140812T013043	96.16	100	100	96.23	700	700
20140812T013049	96.16	200	200	96.23	700	700
20140812T013058	96.16	200	200	96.23	600	600
20140812T013250	96.17	500	500	96.23	600	600
20140812T013255	96.18	100	100	96.23	600	600
20140812T013256	96.18	200	200	96.23	600	600
20140812T013301	96.18	300	300	96.23	600	600
20140812T014047	96.18	200	200	96.23	600	600
20140812T014049	96.18	300	300	96.23	600	600
20140812T014124	96.18	300	300	96.23	500	500
20140812T014230	96.18	300	300	96.21	100	100
20140812T014335	96.18	300	300	96.21	200	200
20140812T014401	96.18	300	300	96.21	100	100
20140812T014415	96.18	200	200	96.21	100	100
20140812T014434	96.18	200	200	96.21	200	200
20140812T014459	96.18	200	200	96.2	100	100
20140812T014616	96.18	200	200	96.2	1500	1500
20140812T014701	96.18	200	200	96.23	200	200
20140812T014922	96.18	700	700	96.23	200	200
20140812T014925	96.18	700	700	96.22	100	100
20140812T014932	96.19	200	200	96.22	300	300
20140812T015209	96.19	200	200	96.22	500	500
20140812T015226	96.19	200	200	96.22	600	600
20140812T015324	96.19	200	200	96.2	5000	5000
20140812T015330	96.19	100	100	96.2	5000	5000
20140812T015334	96.19	100	100	96.2	5300	5300
20140812T015336	96.18	500	500	96.19	200	200
20140812T015401	96.18	500	500	96.19	100	100
20140812T015414	96.18	400	400	96.19	100	100
20140812T015608	96.18	800	800	96.19	100	100
20140812T015609	96.18	400	400	96.19	100	100
20140812T015627	96.18	400	400	96.19	300	300
20140812T015633	96.18	400	400	96.2	5000	5000
20140812T015634	96.18	400	400	96.19	500	500
20140812T015636	96.18	200	200	96.19	500	500
20140812T015639	96.17	400	400	96.19	500	500
20140812T015803	96.17	400	400	96.22	100	100
20140812T015806	96.17	400	400	96.22	400	400
20140812T015810	96.18	200	200	96.22	400	400
20140812T015833	96.18	200	200	96.22	300	300
20140812T015843	96.18	200	200	96.21	1000	1000
20140812T015854	96.18	200	200	96.21	900	900
20140812T015856	96.18	200	200	96.22	300	300
20140812T015908	96.18	200	200	96.22	400	400
20140812T015932	96.17	400	400	96.22	100	100
20140812T015934	96.17	400	400	96.21	500	500
20140812T015939	96.17	400	400	96.22	100	100
20140812T015944	96.17	400	400	96.23	200	200
20140812T015952	96.22	100	100	96.23	200	200
20140812T020000	96.22	100	100	96.23	800	800
20140812T100001	96.51	1000	1000	96.58	100	100
20140812T100010	96.41	1200	1200	96.58	100	100
20140812T100020	96.42	100	100	96.58	100	100
20140812T100028	96.42	100	100	96.89	200	200
20140812T100111	96.32	200	200	96.89	200	200
20140812T100303	96.34	200	200	96.89	200	200
20140812T100314	96.32	300	300	96.89	200	200
20140812T100332	96.32	400	400	96.89	200	200
20140812T100357	96.32	200	200	96.89	200	200
20140812T100506	96.32	400	400	96.89	200	200
20140812T100728	96.32	200	200	96.89	200	200
20140812T100758	96.32	100	100	96.89	200	200
20140812T101010	96.3	300	300	96.89	200	200
20140812T101012	96.3	300	300	96.89	100	100
20140812T101030	96.3	100	100	96.89	200	200
20140812T101037	96.3	100	100	96.89	100	100
20140812T101041	96.3	100	100	96.89	200	200
20140812T101044	96.49	100	100	96.89	200	200
20140812T101203	96.49	300	300	96.89	200	200
20140812T101241	96.49	400	400	96.89	200	200
20140812T101248	96.5	300	300	96.89	200	200
20140812T101443	96.49	100	100	96.89	200	200
20140812T101459	96.49	100	100	96.89	1200	1200
20140812T101801	96.31	100	100	96.89	1200	1200
20140812T101926	96.3	400	400	96.88	200	200
20140812T101938	96.31	100	100	96.88	200	200
20140812T102053	96.31	100	100	96.87	200	200
20140812T102107	96.33	100	100	96.87	200	200
20140812T102113	96.32	100	100	96.85	200	200
20140812T102125	96.31	100	100	96.85	200	200
20140812T102133	96.31	100	100	96.79	200	200
20140812T102146	96.31	100	100	96.77	200	200
20140812T102157	96.31	100	100	96.75	200	200
20140812T102207	96.31	100	100	96.73	200	200
20140812T102218	96.31	100	100	96.71	200	200
20140812T102228	96.31	100	100	96.69	200	200
20140812T102239	96.31	100	100	96.68	500	500
20140812T102325	96.31	100	100	96.68	600	600
20140812T102422	96.31	100	100	96.68	700	700
20140812T102527	96.31	100	100	96.85	200	200
20140812T102604	96.31	100	100	96.58	500	500
20140812T102651	96.31	100	100	96.52	500	500
20140812T102708	96.31	100	100	96.48	200	200
20140812T102725	96.31	200	200	96.48	200	200
20140812T102731	96.31	100	100	96.48	200	200
20140812T102924	96.31	100	100	96.47	200	200
20140812T102950	96.31	200	200	96.47	200	200
20140812T103003	96.31	200	200	96.48	200	200
20140812T103030	96.31	100	100	96.48	200	200
20140812T103118	96.36	200	200	96.48	200	200
20140812T103206	96.36	500	500	96.48	200	200
20140812T103234	96.36	200	200	96.48	200	200
20140812T103525	96.37	100	100	96.48	200	200
20140812T103607	96.38	100	100	96.48	200	200
20140812T103610	96.35	100	100	96.48	200	200
20140812T103619	96.36	100	100	96.48	200	200
20140812T103631	96.32	200	200	96.48	200	200
20140812T103637	96.32	100	100	96.48	200	200
20140812T103641	96.32	200	200	96.48	200	200
20140812T103653	96.32	100	100	96.48	200	200
20140812T103725	96.34	200	200	96.48	200	200
20140812T103746	96.32	100	100	96.48	200	200
20140812T103751	96.52	100	100	96.83	200	200
20140812T103801	96.32	100	100	96.83	200	200
20140812T103856	96.32	200	200	96.83	200	200
20140812T103947	96.32	300	300	96.83	200	200
20140812T104120	96.33	200	200	96.83	200	200
20140812T104240	96.33	300	300	96.83	200	200
20140812T104341	96.33	100	100	96.83	200	200
20140812T104539	96.33	300	300	96.83	200	200
20140812T104558	96.34	100	100	96.83	200	200
20140812T104731	96.34	200	200	96.83	200	200
20140812T104737	96.34	300	300	96.83	200	200
20140812T104850	96.35	100	100	96.83	200	200
20140812T104927	96.34	200	200	96.83	200	200
20140812T105020	96.35	100	100	96.83	200	200
20140812T105030	96.35	200	200	96.83	200	200
20140812T105040	96.35	100	100	96.83	200	200
20140812T105247	96.35	200	200	96.83	200	200
20140812T105351	96.35	500	500	96.83	200	200
20140812T105524	96.36	200	200	96.83	200	200
20140812T105545	96.37	200	200	96.83	200	200
20140812T105558	96.37	500	500	96.83	200	200
20140812T105750	96.37	300	300	96.83	200	200
20140812T105756	96.37	300	300	96.83	1200	1200
20140812T105826	96.37	300	300	96.81	200	200
20140812T105833	96.43	200	200	96.81	200	200
20140812T105842	96.37	300	300	96.81	200	200
20140812T105936	96.37	300	300	96.79	200	200
20140812T110007	96.37	300	300	96.78	200	200
20140812T110037	96.36	100	100	96.78	200	200
20140812T110046	96.35	300	300	96.78	200	200
20140812T110108	96.35	300	300	96.76	200	200
20140812T110121	96.35	300	300	96.69	200	200
20140812T110133	96.35	300	300	96.6	200	200
20140812T110204	96.31	100	100	96.6	200	200
20140812T110404	96.48	100	100	96.6	200	200
20140812T110443	96.48	100	100	96.54	500	500
20140812T110528	96.48	100	100	96.6	200	200
20140812T110655	96.49	100	100	96.6	200	200
20140812T110657	96.48	100	100	96.6	200	200
20140812T111159	96.4	100	100	96.6	200	200
20140812T111409	96.4	100	100	96.6	300	300
20140812T111419	96.4	100	100	96.59	100	100
20140812T111457	96.4	100	100	96.6	200	200
20140812T111530	96.5	100	100	96.6	200	200
20140812T111546	96.33	100	100	96.6	100	100
20140812T111618	96.3	100	100	96.6	100	100
20140812T111748	96.28	200	200	96.6	100	100
20140812T111759	96.28	200	200	96.6	900	900
20140812T112603	96.45	100	100	96.6	900	900
20140812T112949	96.45	100	100	96.59	100	100
20140812T113028	96.45	100	100	96.6	900	900
20140812T113041	96.45	100	100	96.59	100	100
20140812T113219	96.45	100	100	96.58	100	100
20140812T113233	96.45	100	100	96.57	100	100
20140812T113354	96.45	100	100	96.56	100	100
20140812T113447	96.45	100	100	96.57	100	100
20140812T113510	96.45	100	100	96.56	500	500
