time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140813T015515	563.	100	100	564.3	100	100
20140813T015559	563.02	100	100	564.3	100	100
20140813T100002	563.2	100	100	571.11	100	100
20140813T100003	563.2	100	100	569.26	200	200
20140813T101624	563.2	100	100	569.26	1000	1000
20140813T101735	563.29	100	100	569.26	1000	1000
20140813T101742	563.2	100	100	569.26	1000	1000
20140813T124134	563.25	100	100	569.26	1000	1000
20140813T124200	563.3	100	100	569.26	1000	1000
20140813T124225	563.2	100	100	569.26	1000	1000
20140813T131401	563.25	100	100	569.26	1000	1000
20140813T131428	563.3	100	100	569.26	1000	1000
20140813T131603	563.35	100	100	569.26	1000	1000
20140813T132217	564.55	100	100	569.26	1000	1000
20140813T132241	564.6	100	100	569.26	1000	1000
20140813T132414	564.65	100	100	569.26	1000	1000
20140813T132627	564.7	100	100	569.26	1000	1000
20140813T132702	564.85	100	100	569.26	1000	1000
20140813T132919	564.8	100	100	569.26	1000	1000
20140813T133046	564.85	100	100	569.26	1000	1000
20140813T133901	565.05	100	100	569.26	1000	1000
20140813T133926	565.1	100	100	569.26	1000	1000
20140813T133927	565.05	100	100	569.26	1000	1000
20140813T133941	564.95	100	100	569.26	1000	1000
20140813T134824	564.95	500	500	569.26	1000	1000
20140813T135517	565.05	100	100	569.26	1000	1000
20140813T135538	565.1	100	100	569.26	1000	1000
20140813T135747	565.15	100	100	569.26	1000	1000
20140813T135919	565.2	100	100	569.26	1000	1000
20140813T135921	565.25	100	100	569.26	1000	1000
20140813T135929	565.25	100	100	568.2	100	100
20140813T135931	565.25	100	100	568.18	100	100
20140813T135959	565.3	100	100	568.18	100	100
20140813T140001	565.3	100	100	567.25	100	100
20140813T140049	565.65	100	100	567.25	100	100
20140813T140052	565.65	100	100	566.95	100	100
20140813T140054	565.3	100	100	566.95	100	100
20140813T140113	565.35	100	100	566.95	100	100
20140813T140208	565.4	100	100	566.95	100	100
20140813T140257	565.4	100	100	567.3	100	100
20140813T140416	565.45	100	100	567.3	100	100
20140813T140558	565.65	100	100	567.3	100	100
20140813T140628	565.7	100	100	567.3	100	100
20140813T140712	565.65	100	100	567.3	100	100
20140813T140731	565.75	100	100	567.3	100	100
20140813T140733	565.8	100	100	567.3	100	100
20140813T140941	565.85	100	100	567.3	100	100
20140813T141021	565.9	100	100	567.3	100	100
20140813T141151	565.95	100	100	567.3	100	100
20140813T141400	566.	100	100	567.3	100	100
20140813T141608	566.05	100	100	567.3	100	100
20140813T141819	566.1	100	100	567.3	100	100
20140813T142032	566.15	100	100	567.3	100	100
20140813T142241	566.2	100	100	567.3	100	100
20140813T142515	566.2	100	100	567.29	100	100
20140813T142518	565.55	100	100	567.3	100	100
20140813T142658	565.55	100	100	568.1	100	100
20140813T142738	565.55	100	100	568.05	100	100
20140813T142943	565.55	100	100	568.05	1000	1000
20140813T143001	566.1	100	100	568.05	1000	1000
20140813T143010	565.55	100	100	568.05	1000	1000
20140813T143024	565.6	100	100	568.05	1000	1000
20140813T143029	565.55	100	100	568.05	1000	1000
20140813T143036	565.6	100	100	568.05	1000	1000
20140813T143042	565.55	100	100	568.05	1000	1000
20140813T143043	565.65	100	100	568.05	1000	1000
20140813T143045	565.65	100	100	568.04	100	100
20140813T143049	565.55	100	100	568.04	100	100
20140813T143052	565.6	100	100	568.04	100	100
20140813T143058	565.6	100	100	567.95	100	100
20140813T143105	565.6	100	100	567.94	100	100
20140813T143114	565.6	100	100	567.95	100	100
20140813T143238	565.65	100	100	567.95	100	100
20140813T143348	565.65	100	100	567.75	500	500
20140813T143425	565.7	100	100	567.75	500	500
20140813T143427	565.7	100	100	567.75	1000	1000
20140813T143513	565.7	100	100	567.74	100	100
20140813T143543	565.7	100	100	567.74	1000	1000
20140813T143612	565.75	100	100	567.74	1000	1000
20140813T143632	565.75	100	100	567.49	500	500
20140813T143801	565.8	100	100	567.49	500	500
20140813T143812	565.8	100	100	567.49	1000	1000
20140813T143922	566.	100	100	567.49	1000	1000
20140813T143927	565.8	100	100	567.49	1000	1000
20140813T143932	565.8	100	100	567.48	100	100
20140813T143937	565.8	100	100	567.49	1000	1000
20140813T143941	565.9	100	100	567.49	1000	1000
20140813T143942	566.	100	100	567.49	1000	1000
20140813T143943	566.05	100	100	567.49	1000	1000
20140813T143948	565.8	100	100	567.49	1000	1000
20140813T144012	565.85	100	100	567.49	1000	1000
20140813T144036	565.85	100	100	567.45	100	100
20140813T144117	565.85	100	100	567.44	100	100
20140813T144153	565.85	100	100	567.4	100	100
20140813T144159	565.9	100	100	567.4	100	100
20140813T144218	565.9	100	100	567.45	100	100
20140813T144324	565.9	100	100	567.	100	100
20140813T144423	565.9	100	100	567.45	100	100
20140813T144447	565.95	100	100	567.45	100	100
20140813T144451	565.95	100	100	567.45	1000	1000
20140813T144648	565.95	100	100	567.3	100	100
20140813T144705	566.	100	100	567.3	100	100
20140813T144711	566.	100	100	567.3	1000	1000
20140813T144825	566.	100	100	567.29	400	400
20140813T144836	566.	100	100	567.29	1000	1000
20140813T144927	566.05	100	100	567.29	1000	1000
20140813T145032	566.05	100	100	567.25	100	100
20140813T145056	566.05	100	100	567.25	1000	1000
20140813T145141	566.05	100	100	567.24	400	400
20140813T145144	566.05	100	100	567.19	100	100
20140813T145145	566.1	100	100	567.19	100	100
20140813T145150	565.6	100	100	567.19	100	100
20140813T145213	565.6	100	100	567.19	1000	1000
20140813T145224	565.6	100	100	567.	100	100
20140813T145303	565.6	100	100	567.19	1000	1000
20140813T145359	565.6	100	100	566.99	100	100
